Target,Result,vs. Target,vs. Prior,Year,Month,Day,MonthName
80,59,-21,2,2013,0,1,January
80,59,-21,0,2013,1,1,February
80,60,-20,1,2013,2,1,March
80,100,-22,-2,2013,3,1,April
80,55,-25,-3,2013,4,1,May
80,53,-27,-2,2013,5,1,June
80,54,-26,1,2013,6,1,July
