Target,Result,vs. Target,vs. Prior,Year,Month,Day,MonthName
99,99.87,0.87,-0.03,2013,0,1,January
99,93.37,-5.63,-6.5,2013,1,1,February
99,99.93,0.93,6.56,2013,2,1,March
99,99.92,0.92,-0.01,2013,3,1,April
99,99.93,0.93,0.01,2013,4,1,May
99,93.38,-5.62,-6.55,2013,5,1,June
99,99.95,0.95,6.57,2013,6,1,July
