Target,Result,vs. Target,vs. Prior,Year,Month,Day,MonthName
99,99.96,0.96,0.06,2013,0,1,January
99,99.95,0.95,-0.01,2013,1,1,February
99,99.95,0.95,0,2013,2,1,March
99,99.95,0.95,0,2013,3,1,April
99,99.96,0.96,0.01,2013,4,1,May
99,99.76,0.76,-0.2,2013,5,1,June
99,99.95,0.95,0.19,2013,6,1,July
