Target,Result,vs. Target,vs. Prior,Year,Month,Day,MonthName,Title
99,99.96,0.96,0.06,2013,0,1,January,% Garbage Pickups Collected On Schedule
99,99.95,0.95,-0.01,2013,1,1,February,% Garbage Pickups Collected On Schedule
99,99.95,0.95,0,2013,2,1,March,% Garbage Pickups Collected On Schedule
99,99.95,0.95,0,2013,3,1,April,% Garbage Pickups Collected On Schedule
99,99.96,0.96,0.01,2013,4,1,May,% Garbage Pickups Collected On Schedule
99,99.76,0.76,-0.2,2013,5,1,June,% Garbage Pickups Collected On Schedule
99,99.95,0.95,0.19,2013,6,1,July,% Garbage Pickups Collected On Schedule
