Target,Result,vs. Target,vs. Prior,Year,Month,Day,MonthName
0,131,0,2.24,2013,0,1,January
0,194,0,-48.09,2013,1,1,February
0,178,0,8.25,2013,2,1,March
0,128,0,28.09,2013,3,1,April
0,150,0,-17.19,2013,4,1,May
0,115,0,23.33,2013,5,1,June
0,110,0,4.35,2013,6,1,July
